,precision,recall,f1-score,support
0,1.0,1.0,1.0,492.0
1,1.0,1.0,1.0,79.0
2,1.0,1.0,1.0,92.0
3,1.0,1.0,1.0,21.0
4,1.0,1.0,1.0,16.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,700.0
weighted avg,1.0,1.0,1.0,700.0
