,precision,recall,f1-score,support
0,0.5633802816901409,0.5228758169934641,0.5423728813559322,153.0
1,0.4919786096256685,0.6388888888888888,0.5558912386706949,144.0
2,0.5642857142857143,0.6076923076923076,0.5851851851851853,130.0
3,0.5423728813559322,0.45390070921985815,0.49420849420849416,141.0
4,0.504424778761062,0.4318181818181818,0.4653061224489796,132.0
accuracy,0.5314285714285715,0.5314285714285715,0.5314285714285715,0.5314285714285715
macro avg,0.5332884531437035,0.53103518092254,0.5285927843738574,700.0
weighted avg,0.5335112754421104,0.5314285714285715,0.5288703844811068,700.0
