,precision,recall,f1-score,support
0,1.0,1.0,1.0,499.0
1,1.0,1.0,1.0,86.0
2,1.0,1.0,1.0,75.0
3,1.0,1.0,1.0,22.0
4,1.0,1.0,1.0,18.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,700.0
weighted avg,1.0,1.0,1.0,700.0
