,precision,recall,f1-score,support
0,1.0,1.0,1.0,502.0
1,1.0,1.0,1.0,82.0
2,1.0,1.0,1.0,83.0
3,1.0,1.0,1.0,22.0
4,1.0,1.0,1.0,11.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,700.0
weighted avg,1.0,1.0,1.0,700.0
