,precision,recall,f1-score,support
0,0.9978991596638656,1.0,0.9989484752891693,475.0
1,1.0,1.0,1.0,93.0
2,1.0,0.9893617021276596,0.9946524064171123,94.0
3,1.0,1.0,1.0,17.0
4,1.0,1.0,1.0,21.0
accuracy,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
macro avg,0.9995798319327731,0.997872340425532,0.9987201763412564,700.0
weighted avg,0.9985744297719088,0.9985714285714286,0.9985683599508057,700.0
