,precision,recall,f1-score,support
0,0.6376811594202898,0.6111111111111112,0.624113475177305,144.0
1,0.5126582278481012,0.5827338129496403,0.5454545454545454,139.0
2,0.5590551181102362,0.4797297297297297,0.5163636363636364,148.0
3,0.5666666666666667,0.4689655172413793,0.5132075471698113,145.0
4,0.5286624203821656,0.6693548387096774,0.5907473309608541,124.0
accuracy,0.5585714285714286,0.5585714285714286,0.5585714285714286,0.5585714285714286
macro avg,0.5609447184854919,0.5623790019483076,0.5579773070252305,700.0
weighted avg,0.5622093498596828,0.5585714285714286,0.5568287197204292,700.0
