,precision,recall,f1-score,support
0,1.0,1.0,1.0,500.0
1,1.0,1.0,1.0,83.0
2,1.0,1.0,1.0,85.0
3,1.0,1.0,1.0,16.0
4,1.0,1.0,1.0,16.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,700.0
weighted avg,1.0,1.0,1.0,700.0
