,precision,recall,f1-score,support
0,1.0,1.0,1.0,137.0
1,1.0,1.0,1.0,143.0
2,1.0,1.0,1.0,135.0
3,1.0,1.0,1.0,139.0
4,1.0,1.0,1.0,146.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,700.0
weighted avg,1.0,1.0,1.0,700.0
