,precision,recall,f1-score,support
0,0.8842975206611571,0.852589641434263,0.8681541582150102,502.0
1,0.4482758620689655,0.47560975609756095,0.46153846153846156,82.0
2,0.41935483870967744,0.46987951807228917,0.4431818181818182,83.0
3,0.391304347826087,0.4090909090909091,0.4,22.0
4,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
accuracy,0.7457142857142857,0.7457142857142857,0.7457142857142857,0.7457142857142857
macro avg,0.5363388215454851,0.5687066922117318,0.5512415542537247,700.0
weighted avg,0.7571631432138715,0.7457142857142857,0.7509432840654949,700.0
