,precision,recall,f1-score,support
0,0.8682505399568035,0.804,0.8348909657320872,500.0
1,0.40186915887850466,0.5180722891566265,0.45263157894736844,83.0
2,0.3541666666666667,0.4,0.3756906077348067,85.0
3,0.13636363636363635,0.1875,0.15789473684210525,16.0
4,0.6666666666666666,0.5,0.5714285714285715,16.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.48546333370645556,0.4819144578313253,0.47850729213698784,700.0
weighted avg,0.729190088114956,0.7,0.7123096835835209,700.0
