,precision,recall,f1-score,support
0,0.8406374501992032,0.845691382765531,0.8431568431568432,499.0
1,0.3046875,0.45348837209302323,0.36448598130841126,86.0
2,0.7428571428571429,0.3466666666666667,0.4727272727272728,75.0
3,0.625,0.45454545454545453,0.5263157894736842,22.0
4,0.42105263157894735,0.4444444444444444,0.43243243243243246,18.0
accuracy,0.7214285714285714,0.7214285714285714,0.7214285714285714,0.7214285714285714
macro avg,0.5868469449270587,0.5089672641030238,0.5278236638197288,700.0
weighted avg,0.7467492081887274,0.7214285714285714,0.7241404796207692,700.0
