,precision,recall,f1-score,support
0,0.864406779661017,0.8176352705410822,0.8403707518022657,499.0
1,0.3333333333333333,0.11627906976744186,0.1724137931034483,86.0
2,0.32142857142857145,0.36,0.33962264150943394,75.0
3,0.10204081632653061,0.22727272727272727,0.1408450704225352,22.0
4,0.12307692307692308,0.4444444444444444,0.1927710843373494,18.0
accuracy,0.6542857142857142,0.6542857142857142,0.6542857142857142,0.6542857142857142
macro avg,0.3488572847652751,0.3931263024051391,0.3372046682350065,700.0
weighted avg,0.6979615359274647,0.6542857142857142,0.6660182293382896,700.0
