,precision,recall,f1-score,support
0,0.5384615384615384,0.47619047619047616,0.5054151624548736,147.0
1,0.5045871559633027,0.39285714285714285,0.4417670682730923,140.0
2,0.5947712418300654,0.6190476190476191,0.6066666666666666,147.0
3,0.5974842767295597,0.6785714285714286,0.6354515050167224,140.0
4,0.5906040268456376,0.6984126984126984,0.64,126.0
accuracy,0.57,0.57,0.57,0.57
macro avg,0.5651816479660208,0.5730158730158731,0.5658600804822711,700.0
weighted avg,0.5647018952320241,0.57,0.5641808987734863,700.0
