,precision,recall,f1-score,support
0,0.8525519848771267,0.898406374501992,0.8748787584869059,502.0
1,0.5714285714285714,0.4878048780487805,0.5263157894736842,82.0
2,0.4166666666666667,0.42168674698795183,0.4191616766467066,83.0
3,0.9,0.4090909090909091,0.5625000000000001,22.0
4,0.8571428571428571,0.5454545454545454,0.6666666666666665,11.0
accuracy,0.7728571428571429,0.7728571428571429,0.7728571428571429,0.7728571428571429
macro avg,0.7195580160230445,0.5524886908168358,0.6099045782547926,700.0
weighted avg,0.7695002057533789,0.7728571428571429,0.7669225485603983,700.0
