,precision,recall,f1-score,support
0,0.40298507462686567,0.7346938775510204,0.5204819277108435,147.0
1,0.36666666666666664,0.3142857142857143,0.3384615384615384,140.0
2,0.6484375,0.564625850340136,0.6036363636363636,147.0
3,0.746268656716418,0.35714285714285715,0.4830917874396135,140.0
4,0.6239316239316239,0.5793650793650794,0.6008230452674898,126.0
accuracy,0.5114285714285715,0.5114285714285715,0.5114285714285715,0.5114285714285715
macro avg,0.5576579043883149,0.5100226757369615,0.5092989325031698,700.0
weighted avg,0.555693497655951,0.5114285714285715,0.508523654511292,700.0
