,precision,recall,f1-score,support
0,0.9932432432432432,1.0,0.9966101694915254,147.0
1,1.0,1.0,1.0,140.0
2,1.0,0.9931972789115646,0.9965870307167235,147.0
3,1.0,1.0,1.0,140.0
4,1.0,1.0,1.0,126.0
accuracy,0.9985714285714286,0.9985714285714286,0.9985714285714286,0.9985714285714286
macro avg,0.9986486486486486,0.9986394557823128,0.9986394400416497,700.0
weighted avg,0.9985810810810811,0.9985714285714286,0.9985714120437322,700.0
