,precision,recall,f1-score,support
0,0.37254901960784315,0.6934306569343066,0.48469387755102045,137.0
1,0.547486033519553,0.6853146853146853,0.608695652173913,143.0
2,0.6428571428571429,0.4666666666666667,0.5407725321888412,135.0
3,0.4827586206896552,0.302158273381295,0.37168141592920356,139.0
4,0.654320987654321,0.363013698630137,0.46696035242290745,146.0
accuracy,0.5014285714285714,0.5014285714285714,0.5014285714285714,0.5014285714285714
macro avg,0.5399943608657031,0.502116796185418,0.4945607660531771,700.0
weighted avg,0.5410710646266826,0.5014285714285714,0.49470108514108097,700.0
