,precision,recall,f1-score,support
0,1.0,1.0,1.0,144.0
1,1.0,1.0,1.0,139.0
2,1.0,1.0,1.0,148.0
3,1.0,1.0,1.0,145.0
4,1.0,1.0,1.0,124.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,700.0
weighted avg,1.0,1.0,1.0,700.0
