,precision,recall,f1-score,support
0,0.4136690647482014,0.8273381294964028,0.5515587529976019,139.0
1,0.572463768115942,0.5197368421052632,0.5448275862068965,152.0
2,0.5391304347826087,0.4105960264900662,0.46616541353383456,151.0
3,0.6071428571428571,0.3953488372093023,0.4788732394366197,129.0
4,0.6,0.3953488372093023,0.4766355140186916,129.0
accuracy,0.5114285714285715,0.5114285714285715,0.5114285714285715,0.5114285714285715
macro avg,0.5464812249579218,0.5096737345020672,0.5036121012387288,700.0
weighted avg,0.545206595681751,0.5114285714285715,0.5044743805849417,700.0
