,precision,recall,f1-score,support
0,0.7128571428571429,1.0,0.8323603002502085,499.0
1,0.0,0.0,0.0,86.0
2,0.0,0.0,0.0,75.0
3,0.0,0.0,0.0,22.0
4,0.0,0.0,0.0,18.0
accuracy,0.7128571428571429,0.7128571428571429,0.7128571428571429,0.7128571428571429
macro avg,0.14257142857142857,0.2,0.1664720600500417,700.0
weighted avg,0.5081653061224489,0.7128571428571429,0.5933539854640771,700.0
