,precision,recall,f1-score,support
0,0.8567839195979899,0.682,0.7594654788418709,500.0
1,0.5842696629213483,0.6666666666666666,0.622754491017964,78.0
2,0.25301204819277107,0.46153846153846156,0.3268482490272374,91.0
3,0.5263157894736842,0.7692307692307693,0.625,13.0
4,0.2857142857142857,0.4444444444444444,0.34782608695652173,18.0
accuracy,0.6471428571428571,0.6471428571428571,0.6471428571428571,0.6471428571428571
macro avg,0.5012191411800158,0.6047760683760683,0.5363788611687188,700.0
weighted avg,0.727105788997739,0.6471428571428571,0.6749094999243322,700.0
