,precision,recall,f1-score,support
0,0.5085714285714286,0.6180555555555556,0.5579937304075234,144.0
1,0.4129353233830846,0.6194029850746269,0.4955223880597014,134.0
2,0.6016260162601627,0.5068493150684932,0.550185873605948,146.0
3,0.4342105263157895,0.24812030075187969,0.31578947368421056,133.0
4,0.448,0.3916083916083916,0.417910447761194,143.0
accuracy,0.4785714285714286,0.4785714285714286,0.4785714285714286,0.4785714285714286
macro avg,0.481068658906093,0.4768073096117894,0.4674803827037155,700.0
weighted avg,0.48317002488800403,0.4785714285714286,0.46977061250714647,700.0
