,precision,recall,f1-score,support
0,0.8188976377952756,0.832,0.8253968253968254,500.0
1,0.47692307692307695,0.37349397590361444,0.41891891891891886,83.0
2,0.29411764705882354,0.35294117647058826,0.32085561497326204,85.0
3,0.46153846153846156,0.375,0.41379310344827586,16.0
4,0.5,0.375,0.42857142857142855,16.0
accuracy,0.6985714285714286,0.6985714285714286,0.6985714285714286,0.6985714285714286
macro avg,0.5102953646631275,0.46168703047484055,0.4815071782617421,700.0
weighted avg,0.6991686423812408,0.6985714285714286,0.6974560610767506,700.0
