,precision,recall,f1-score,support
0,0.8171428571428572,0.858,0.8370731707317073,500.0
1,0.4953271028037383,0.6794871794871795,0.572972972972973,78.0
2,0.2857142857142857,0.13186813186813187,0.18045112781954886,91.0
3,0.4,0.46153846153846156,0.42857142857142855,13.0
4,0.5454545454545454,0.3333333333333333,0.41379310344827586,18.0
accuracy,0.7228571428571429,0.7228571428571429,0.7228571428571429,0.7228571428571429
macro avg,0.5087277582230854,0.4928454212454213,0.48657236070878673,700.0
weighted avg,0.6974644634404314,0.7228571428571429,0.7038131918897457,700.0
