,precision,recall,f1-score,support
0,0.42081447963800905,0.6078431372549019,0.4973262032085562,153.0
1,0.4852941176470588,0.6875,0.5689655172413792,144.0
2,0.574468085106383,0.4153846153846154,0.48214285714285715,130.0
3,0.5803571428571429,0.46099290780141844,0.5138339920948617,141.0
4,0.5362318840579711,0.2803030303030303,0.3681592039800995,132.0
accuracy,0.49714285714285716,0.49714285714285716,0.49714285714285716,0.49714285714285716
macro avg,0.519433141861313,0.4904047381487932,0.48608555473355075,700.0
weighted avg,0.5165154074687586,0.49714285714285716,0.4882116040185539,700.0
