,precision,recall,f1-score,support
0,0.5470085470085471,0.460431654676259,0.5,139.0
1,0.5447154471544715,0.4407894736842105,0.48727272727272725,152.0
2,0.5,0.6291390728476821,0.5571847507331379,151.0
3,0.5328467153284672,0.5658914728682171,0.5488721804511278,129.0
4,0.5864661654135338,0.6046511627906976,0.5954198473282443,129.0
accuracy,0.5385714285714286,0.5385714285714286,0.5385714285714286,0.5385714285714286
macro avg,0.5422073749810039,0.5401805673734132,0.5377499011570473,700.0
weighted avg,0.5410318537391227,0.5385714285714286,0.5361628906995676,700.0
