,precision,recall,f1-score,support
0,0.8679653679653679,0.8036072144288577,0.8345473465140479,499.0
1,0.33,0.38372093023255816,0.3548387096774193,86.0
2,0.5375,0.5733333333333334,0.5548387096774193,75.0
3,0.32,0.36363636363636365,0.3404255319148936,22.0
4,0.2727272727272727,0.5,0.3529411764705882,18.0
accuracy,0.7057142857142857,0.7057142857142857,0.7057142857142857,0.7057142857142857
macro avg,0.46563852813852813,0.5248595683262226,0.4875182948508737,700.0
weighted avg,0.7339375850340135,0.7057142857142857,0.7177292300673895,700.0
