,precision,recall,f1-score,support
0,0.45454545454545453,0.7291666666666666,0.56,144.0
1,0.5286624203821656,0.5971223021582733,0.5608108108108107,139.0
2,0.503448275862069,0.49324324324324326,0.49829351535836175,148.0
3,0.620253164556962,0.33793103448275863,0.4375,145.0
4,0.6931818181818182,0.49193548387096775,0.5754716981132075,124.0
accuracy,0.53,0.53,0.53,0.53
macro avg,0.5600182267056939,0.5298797460843818,0.5264152048564761,700.0
weighted avg,0.5562003157579396,0.53,0.5244801907739686,700.0
